ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
331,Japan,JP,JPN,Lack of coping capacity,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMC,"Index for Risk Management; Lack of Coping Capacity","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
332,Japan,JP,JPN,Vulnerability,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMV,"Index for Risk Management; Vulnerability","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.4,1.3,1.3
333,Jordan,JO,JOR,Climate-driven Hazard & Exposure,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMH,Climate-Driven Hazard & Exposure,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
334,Jordan,JO,JOR,Climate-driven INFORM Risk Indicator,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMR,Climate-Driven Inform Risk Indicator,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",4.6,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6
335,Jordan,JO,JOR,Lack of coping capacity,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMC,"Index for Risk Management; Lack of Coping Capacity","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",4.5,4.2,4.1,4.4,4.3,4.3,4.3,4.4,4.4,4.4
336,Jordan,JO,JOR,Vulnerability,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMV,"Index for Risk Management; Vulnerability","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",6.1,6.1,6.1,6.1,6.2,6.1,6.1,6.1,6.2,6.2
337,"Kazakhstan, Rep. of",KZ,KAZ,Climate-driven Hazard & Exposure,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMH,Climate-Driven Hazard & Exposure,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.5,4.5
338,"Kazakhstan, Rep. of",KZ,KAZ,Climate-driven INFORM Risk Indicator,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMR,Climate-Driven Inform Risk Indicator,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.2,2.3,2.3
339,"Kazakhstan, Rep. of",KZ,KAZ,Lack of coping capacity,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMC,"Index for Risk Management; Lack of Coping Capacity","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",4.1,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7
340,"Kazakhstan, Rep. of",KZ,KAZ,Vulnerability,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMV,"Index for Risk Management; Vulnerability","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
341,Kenya,KE,KEN,Climate-driven Hazard & Exposure,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMH,Climate-Driven Hazard & Exposure,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
